cohort,engine,checks,execs,seconds,host_cpu_seconds,host_cpu_percent_one_core,engine_footprint_mib,median_http_ms
candidate-first,candidate,58,1,60.004606,1.068969208,1.7814785884936897,791.93896484375,0.5072919999965961
candidate-first,compose,58,1,60.001934,1.409824082,2.349631066891944,2565.1021041870117,0.6009825000001001
compose-first,compose,58,1,60.005301,1.438414665,2.397145987152035,2576.179931640625,0.599295500000153
compose-first,candidate,58,1,60.007851,1.074898001,1.7912622816637773,782.5796356201172,0.7357709999996587
