visit,shape,cpus,memory_mib,steady_seconds,engine_cpu_percent,engine_footprint_mib,health_checks
0,4cpu-6144mib,4,6144,30.00273,1.059905,2076.754234,30
1,2cpu-4096mib,2,4096,30.004232,0.914675,1547.425034,30
2,2cpu-4096mib,2,4096,30.00369,1.122595,1687.534706,30
3,4cpu-6144mib,4,6144,30.000503,1.262396,2087.082085,30
