visit,shape,trial,phase,command_ms,cli_cpu_ms,engine_cpu_ms,combined_cpu_ms
6,2cpu-6144mib,1,down,272.417375,12.787,111.019833,123.806833
6,2cpu-6144mib,1,restore,949.130625,36.323,549.980541,586.303541
6,2cpu-6144mib,1,remove,324.005625,15.068,128.218084,143.286084
6,2cpu-6144mib,2,up,904.538041,33.833,505.344083,539.177083
6,2cpu-6144mib,2,down,341.669875,13.227,104.624666,117.851666
6,2cpu-6144mib,2,restore,948.886375,33.942,516.417666,550.359666
6,2cpu-6144mib,2,remove,277.16175,12.307,94.349917,106.656917
7,4cpu-6144mib,0,up,1043.219708,38.054,611.576959,649.630959
7,4cpu-6144mib,0,down,434.691917,15.607,143.147959,158.754959
7,4cpu-6144mib,0,restore,955.729416,34.592,622.34925,656.94125
7,4cpu-6144mib,0,remove,337.913,15.582,120.668708,136.250708
7,4cpu-6144mib,1,up,940.55425,35.972,580.080791,616.052791
7,4cpu-6144mib,1,down,332.9905,13.632,112.466125,126.098125
7,4cpu-6144mib,1,restore,934.407375,34.233,563.427583,597.660583
7,4cpu-6144mib,1,remove,394.991375,16.632,129.649584,146.281584
7,4cpu-6144mib,2,up,1030.989416,40.614,706.936083,747.550083
7,4cpu-6144mib,2,down,375.113209,17.348,151.667375,169.015375
7,4cpu-6144mib,2,restore,951.486625,35.304,579.045083,614.349083
7,4cpu-6144mib,2,remove,331.861,16.072,135.905042,151.977042
