window,component,cpu_percent_one_core,footprint_mib,identity_stable
empty-pools,candidate,0.3889815517138372,629.157600402832,True
empty-pools,orbstack-total,0.8581383480225968,2631.805274963379,True
empty-pools,stable-daemon,0.5780009864039078,83.59521484375,True
empty-pools,observer,0.04129896512581399,2.0003433227539062,True
variant-0-candidate-frequent,candidate,41.84372165091253,941.4548187255859,True
variant-0-candidate-frequent,orbstack-total,0.8483030009468703,2555.086227416992,True
variant-0-candidate-frequent,stable-daemon,0.4882560989282332,78.50146484375,True
variant-0-candidate-frequent,observer,0.03394321101796777,1.9222183227539062,True
variant-1-compose-frequent,candidate,0.3900708002212032,951.1110687255859,True
variant-1-compose-frequent,orbstack-total,36.37775767704779,2923.8201217651367,True
variant-1-compose-frequent,stable-daemon,2.1045225176038214,81.82965850830078,True
variant-1-compose-frequent,observer,0.03364683395505767,1.9847183227539062,True
variant-2-compose-startup-fast-steady-slow,candidate,0.43577477324570535,951.1266937255859,True
variant-2-compose-startup-fast-steady-slow,orbstack-total,6.756425805558188,2906.5546340942383,True
variant-2-compose-startup-fast-steady-slow,stable-daemon,1.1166486166440324,82.32965850830078,True
variant-2-compose-startup-fast-steady-slow,observer,0.04204318790579326,1.9847183227539062,True
variant-3-candidate-startup-fast-steady-slow,candidate,9.177935670998943,952.2673187255859,True
variant-3-candidate-startup-fast-steady-slow,orbstack-total,0.8558066418245198,2881.632278442383,True
variant-3-candidate-startup-fast-steady-slow,stable-daemon,0.5639317473583138,82.37653350830078,True
variant-3-candidate-startup-fast-steady-slow,observer,0.047723038194684014,1.9065933227539062,True
